,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,AoA_mean,onset,word_length,aoa_impact,set_size
290,$,9.18,chaw,0.0,1,J$,V,1,21.0,9.0,0.2,12.11,5.71,0.43,12.11,J,2,2.9299999999999997,11
291,$,9.18,gnaw,0.6,1,n$,V,1,21.0,19.0,0.37,10.37,4.1,0.9,10.37,n,2,1.1899999999999995,11
292,$,9.18,haw,0.0,1,h$,N,1,19.0,14.0,0.84,11.86,4.52,0.74,11.86,h,2,2.6799999999999997,11
293,$,9.18,jaw,1.34,1,_$,N,1,18.0,18.0,7.14,5.33,2.28,1.0,5.33,_,2,-3.8499999999999996,11
294,$,9.18,law,2.35,1,l$,N,1,21.0,21.0,116.31,8.33,2.56,1.0,8.33,l,2,-0.8499999999999996,11
295,$,9.18,maw,0.0,1,m$,N,1,21.0,11.0,0.24,13.91,4.41,0.52,13.91,m,2,4.73,11
296,$,9.18,paw,0.78,1,p$,N,1,18.0,18.0,3.12,5.89,2.95,1.0,5.89,p,2,-3.29,11
297,$,9.18,raw,0.0,1,r$,N,1,18.0,18.0,10.18,7.17,2.71,1.0,7.17,r,2,-2.01,11
298,$,9.18,saw,0.0,1,s$,N,1,22.0,22.0,402.49,5.36,2.09,1.0,5.36,s,2,-3.8199999999999994,11
299,$,9.18,thaw,0.0,1,T$,N,1,18.0,18.0,1.59,8.11,2.27,1.0,8.11,T,2,-1.0700000000000003,11
300,$,9.18,yaw,0.0,1,j$,N,1,20.0,13.0,0.22,12.54,4.75,0.65,12.54,j,2,3.3599999999999994,11
301,$J,6.62,porch,1.15,1,p$J,N,1,20.0,20.0,9.63,5.4,2.19,1.0,5.4,p,3,-1.2199999999999998,2
302,$J,6.62,torch,1.08,1,t$J,N,1,19.0,19.0,4.98,7.84,4.0,1.0,7.84,t,3,1.2199999999999998,2
307,$R,8.776470588235295,boar,0.3,1,b$R,N,1,19.0,18.0,2.18,9.83,3.82,0.95,9.83,b,3,1.0535294117647052,17
308,$R,8.776470588235295,chore,0.9,1,J$R,N,1,19.0,19.0,1.0,5.79,1.51,1.0,5.79,J,3,-2.986470588235295,17
309,$R,8.776470588235295,core,1.26,1,k$R,N,1,19.0,19.0,9.82,7.63,3.67,1.0,7.63,k,3,-1.146470588235295,17
310,$R,8.776470588235295,door,2.59,1,d$R,N,1,20.0,20.0,292.06,3.05,1.15,1.0,3.05,d,3,-5.726470588235295,17
311,$R,8.776470588235295,for,3.9,1,f$R,PREP,1,22.0,22.0,6895.1,4.39,1.97,1.0,4.39,f,3,-4.386470588235295,17
312,$R,8.776470588235295,gore,0.0,1,g$R,N,1,20.0,19.0,1.08,10.24,4.02,0.95,10.24,g,3,1.4635294117647053,17
313,$R,8.776470588235295,lore,0.48,1,l$R,N,1,19.0,16.0,0.67,12.56,3.97,0.84,12.56,l,3,3.7835294117647056,17
314,$R,8.776470588235295,moor,0.78,1,m$R,N,1,18.0,15.0,1.98,11.8,2.46,0.83,11.8,m,3,3.023529411764706,17
315,$R,8.776470588235295,nor,2.24,1,n$R,C,1,21.0,21.0,35.98,8.61,2.16,1.0,8.61,n,3,-0.16647058823529548,17
316,$R,8.776470588235295,poor,2.32,1,p$R,A,1,19.0,19.0,129.08,6.11,1.94,1.0,6.11,p,3,-2.6664705882352946,17
317,$R,8.776470588235295,roar,1.04,1,r$R,N,1,19.0,19.0,4.02,4.79,2.25,1.0,4.79,r,3,-3.986470588235295,17
318,$R,8.776470588235295,shore,1.48,1,S$R,N,1,20.0,19.0,19.86,6.93,2.04,0.95,6.93,S,3,-1.8464705882352952,17
319,$R,8.776470588235295,soar,1.0,1,s$R,V,1,19.0,19.0,1.53,9.58,3.53,1.0,9.58,s,3,0.8035294117647052,17
320,$R,8.776470588235295,tor,0.6,1,t$R,N,1,18.0,4.0,2.49,16.5,2.38,0.22,16.5,t,3,7.723529411764705,17
321,$R,8.776470588235295,war,2.56,1,w$R,N,1,18.0,18.0,174.75,7.67,1.75,1.0,7.67,w,3,-1.106470588235295,17
322,$R,8.776470588235295,whore,0.9,1,h$R,N,1,18.0,18.0,21.1,12.22,3.35,1.0,12.22,h,3,3.4435294117647057,17
323,$R,8.776470588235295,yore,0.0,1,j$R,N,1,20.0,14.0,0.25,11.5,4.42,0.7,11.5,j,3,2.723529411764705,17
324,$SH,9.736666666666666,caution,1.08,0,k$SH,N,2,18.0,18.0,5.16,6.22,3.1,1.0,6.22,k,4,-3.5166666666666666,3
325,$SH,9.736666666666666,portion,1.18,0,p$SH,N,2,18.0,18.0,4.33,8.39,2.99,1.0,8.39,p,4,-1.3466666666666658,3
326,$SH,9.736666666666666,torsion,0.0,0,t$SH,N,2,19.0,5.0,0.06,14.6,4.34,0.26,14.6,t,4,4.863333333333333,3
327,$T,6.859999999999999,forth,1.65,1,f$T,ADV,1,20.0,20.0,15.76,7.17,2.6,1.0,7.17,f,3,0.3100000000000005,2
328,$T,6.859999999999999,north,1.65,1,n$T,N,1,20.0,20.0,63.88,6.55,1.85,1.0,6.55,n,3,-0.3099999999999996,2
331,$_,9.485,forge,0.3,1,f$_,N,1,18.0,15.0,3.25,9.8,1.74,0.83,9.8,f,3,0.3150000000000013,2
332,$_,9.485,gorge,0.9,1,g$_,N,1,19.0,18.0,1.31,9.17,2.92,0.95,9.17,g,3,-0.3149999999999995,2
